Rank,Film,Country_of_Origin,Weekend_gross,Distributor,Change_on_last_week,Weeks_on_release,Number_of_cinemas,Site_avg,Total_gross_to_date,Date
1,Spider-Man: No Way Home,USA,5372898,Sony Pictures,-26%,4,680,7900.8,95185417.2,2022-01-07
2,The King's Man,UK/USA,1086110.4,Disney,-74%,2,636,1707.6,6456494.4,2022-01-07
3,Licorice Pizza,USA/Can,1055247.6,Universal,-,1,202,5223.6,1055247.6,2022-01-07
4,Clifford The Big Red Dog,UK/USA,747688.8,eOne Films,-20%,5,631,1184.4,8840632.8,2022-01-07
5,The Matrix: Resurrections,USA,616168.8,Warner Bros,-32%,3,600,1027.2,7739774.4,2022-01-07
6,West Side Story,USA,486607.2,Disney,2%,5,562,866.4,7130377.2,2022-01-07
7,The 355,UK/USA,440577.6,Universal,-,1,490,898.8,440577.6,2022-01-07
8,House Of Gucci,UK/USA,257691.6,Universal,54%,7,289,891.6,10947202.8,2022-01-07
9,Encanto,USA,256219.2,Disney,-12%,7,475,540,7920175.2,2022-01-07
10,Ghostbusters: Afterlife,USA/Can,140877.6,Sony Pictures,-8%,8,254,554.4,13547769.6,2022-01-07
11,Boiling Point,UK,94940.4,Vertigo,-,1,53,1791.6,94940.4,2022-01-07
12,The Electrical Life Of Louis Wain,UK/USA,80257.2,StudioCanal,-22%,2,264,303.6,309416.4,2022-01-07
13,83,UK/Ind,41086.8,Reliance Big Pictures ,-60%,3,52,789.6,631585.2,2022-01-07
14,Titane,Fra/Bel,35122.8,Altitude,-76%,2,77,456,235405.2,2022-01-07
15,No Time To Die,UK/USA,32133.6,Universal,81%,15,101,318,115913176.8,2022-01-07
1,Spider-Man: No Way Home,USA,3858199.2,Sony Pictures,-28%,5,679,5682,100953321.6,2022-01-14
2,Scream,USA,2962212,Paramount,-,1,622,4762.8,2962212,2022-01-14
3,The King's Man,UK/USA,752934,Disney,-31%,3,577,1304.4,7751378.4,2022-01-14
4,Clifford The Big Red Dog,UK/USA,630128.4,eOne Films,-16%,6,620,1016.4,9573501.6,2022-01-14
5,Licorice Pizza,USA/Can,472785.6,Universal,-55%,2,369,1281.6,1833356.4,2022-01-14
6,West Side Story,USA,420018,Disney,-15%,6,490,856.8,7921442.4,2022-01-14
7,The Matrix: Resurrections,USA,359018.4,Warner Bros,-42%,4,477,752.4,8394926.4,2022-01-14
8,Encanto,USA,265962,Disney,3%,8,476,559.2,8208992.4,2022-01-14
9,House Of Gucci,UK/USA,208424.4,Universal,-21%,8,227,918,11319342,2022-01-14
10,The 355,UK/USA,193779.6,Universal,-56%,2,430,451.2,856518,2022-01-14
11,Ghostbusters: Afterlife,USA/Can,108721.2,Sony Pictures,-23%,9,235,463.2,13697895.6,2022-01-14
12,Boiling Point,UK,88266,Vertigo,-8%,2,74,1192.8,238023.6,2022-01-14
13,The Boss Baby 2,USA,55192.8,Universal,279%,13,353,156,8734711.2,2022-01-14
14,Memoria,Col/Tha/UK/Mex/Fra/Deu/Qat/Chi/Che,48138,Sovereign Film Distribution,-,1,56,859.2,48138,2022-01-14
15,The Electrical Life Of Louis Wain,UK/USA,38228.4,StudioCanal,-53%,3,164,232.8,425884.8,2022-01-14
1,Spider-Man: No Way Home,USA,2802585.6,Sony Pictures,-27%,6,655,4279.2,104964366,2022-01-21
2,Belfast,UK,2787086.4,Universal,-,1,704,3958.8,2787086.4,2022-01-21
3,Scream,USA,1502174.4,Paramount,-49%,2,606,2479.2,5703896.4,2022-01-21
4,Nightmare Alley,USA/Mex,661041.6,Disney,-,1,568,1164,661041.6,2022-01-21
5,Clifford The Big Red Dog,UK/USA,552741.6,eOne Films,-12%,7,597,926.4,10198287.6,2022-01-21
6,The King's Man,UK/USA,467409.6,Disney,-38%,4,438,1066.8,8578767.6,2022-01-21
7,Encanto,USA,268406.4,Disney,1%,9,459,584.4,8498348.4,2022-01-21
8,Licorice Pizza,USA/Can,238772.4,Universal,-49%,3,444,537.6,2351439.6,2022-01-21
9,West Side Story,USA,237758.4,Disney,-45%,7,370,642,8475366,2022-01-21
10,The Matrix: Resurrections,UK/USA,192175.2,Warner Bros,-46%,5,304,632.4,8774162.4,2022-01-21
11,House Of Gucci,UK/USA,122416.8,Universal,-42%,9,153,800.4,11578807.2,2022-01-21
12,Ghostbusters: Afterlife,USA/Can,71036.4,Sony Pictures,-35%,10,214,332.4,13793121.6,2022-01-21
13,The 355,UK/USA,69764.4,Universal,-64%,3,196,356.4,1025422.8,2022-01-21
14,A Journal For Jordan,USA/Can,60613.2,Sony Pictures,-,1,194,312,60613.2,2022-01-21
15,Jewels - Bolshoi Ballet 2022 (Ballet),Rus,57834,Trafalgar,-,1,137,422.4,57834,2022-01-21
1,Sing 2,USA,8241039.6,Universal,-,1,632,13039.2,8241039.6,2022-01-28
2,Belfast,UK,2275560,Universal,-19%,2,752,3026.4,7291476,2022-01-28
3,Spider-Man: No Way Home,USA,2134267.2,Sony Pictures,-24%,7,644,3314.4,108044691.6,2022-01-28
4,Scream,USA,945747.6,Paramount,-37%,3,545,1735.2,7381012.8,2022-01-28
5,Nightmare Alley,USA/Mex,396996,Disney,-40%,2,542,732,1473574.8,2022-01-28
6,Parallel Mothers,Esp/USA,362252.4,Warner Bros,-,1,184,1969.2,362252.4,2022-01-28
7,The King's Man,UK/USA,342571.2,Disney,-27%,5,362,946.8,9140292,2022-01-28
8,Clifford The Big Red Dog,UK/USA,242433.6,eOne Films,-56%,8,532,456,10506460.8,2022-01-28
9,West Side Story,USA,143787.6,Disney,-40%,8,268,536.4,8809455.6,2022-01-28
10,Encanto,USA,117688.8,Disney,-56%,10,451,260.4,8638930.8,2022-01-28
11,Hridayam,Ind,110792.4,RFT Films,-,2,83,1334.4,110792.4,2022-01-28
12,Licorice Pizza,USA/Can,104278.8,Universal,-57%,4,187,558,2605977.6,2022-01-28
13,Rigoletto - Met Opera 2022 (Opera),USA,104187.6,Trafalgar,-,1,135,771.6,104187.6,2022-01-28
14,Gierek,Pol,98030.4,Magnetes,-,1,161,608.4,98030.4,2022-01-28
15,The Matrix: Resurrections,UK/USA,90946.8,Warner Bros,-53%,6,190,478.8,8966966.4,2022-01-28
1,Sing 2,USA,6179574,Universal,-25%,2,640,9655.2,15566545.2,2022-02-04
2,Jackass Forever,USA,2509220.4,Paramount,-,1,537,4672.8,2509220.4,2022-02-04
3,Belfast,UK,1770474,Universal,-23%,3,752,2354.4,10748110.8,2022-02-04
4,Moonfall,USA/Can/UK/Chn,1395736.8,Entertainment,-,1,543,2570.4,1395736.8,2022-02-04
5,Spider-Man: No Way Home,USA,1386340.8,Sony Pictures,-35%,8,624,2221.2,110102186.4,2022-02-04
6,Scream,USA,471127.2,Paramount,-50%,4,464,1015.2,8309036.4,2022-02-04
7,Parallel Mothers,Esp/USA,223864.8,Warner Bros,-39%,2,182,1230,847002,2022-02-04
8,Clifford The Big Red Dog,UK/USA,183150,eOne Films,-25%,9,498,367.2,10716420,2022-02-04
9,BELLE,Jpn,182744.4,National Amusements UK,-,1,147,1243.2,182744.4,2022-02-04
10,Nightmare Alley,USA/Mex,179827.2,Disney,-55%,3,312,576,1908147.6,2022-02-04
11,The King's Man,UK/USA,160207.2,Disney,-53%,6,239,670.8,9459148.8,2022-02-04
12,The Souvenir Part II,UK,111652.8,Picture House Entertainment,-,1,94,1188,111652.8,2022-02-04
13,West Side Story,USA,82918.8,Disney,-43%,9,181,458.4,9040176,2022-02-04
14,Encanto,USA,76977.6,Disney,-36%,11,290,265.2,8721844.8,2022-02-04
15,Licorice Pizza,USA/Can,59346,Universal,-43%,5,99,600,2753473.2,2022-02-04
1,Uncharted,USA/Esp,5647137.6,Sony Pictures,-,1,579,9753.6,5647137.6,2022-02-11
2,Sing 2,USA,3844740,Universal,-38%,3,679,5662.8,20159034,2022-02-11
3,Death On The Nile,UK/USA,2278028.4,Disney,-,1,710,3208.8,2278028.4,2022-02-11
4,Belfast,UK,1260759.6,Universal,-29%,4,657,1918.8,13529395.2,2022-02-11
5,Jackass Forever,USA,1196636.4,Paramount,-52%,2,533,2245.2,4893103.2,2022-02-11
6,Marry Me,USA,840615.6,Universal,-,1,505,1664.4,840615.6,2022-02-11
7,Spider-Man: No Way Home,USA,803158.8,Sony Pictures,-42%,9,535,1501.2,111324986.4,2022-02-11
8,Moonfall,USA/Can/UK/Chn,251822.4,Entertainment,-82%,2,469,536.4,2129511.6,2022-02-11
9,Scream,USA,156261.6,Paramount,-67%,5,259,603.6,8698305.6,2022-02-11
10,Parallel Mothers,Esp/USA,130917.6,Warner Bros,-42%,3,99,1322.4,1143004.8,2022-02-11
11,Clifford The Big Red Dog,UK/USA,117775.2,eOne Films,-36%,10,409,288,10848596.4,2022-02-11
12,Encanto,USA,109519.2,Disney,42%,12,415,264,8835631.2,2022-02-11
13,The Beatles: Get Back - The Rooftop Concert,UK/Nzl/USA,95984.4,Disney,-,1,31,3096,95984.4,2022-02-11
14,"Love, Sex And Pandemic",Pol,75105.6,Kinostar,-,1,166,452.4,75105.6,2022-02-11
15,Flee,Dnk/Fra/Swe/Nor,68869.2,Curzon,-,1,43,1602,68869.2,2022-02-11
1,Uncharted,USA/Esp,4530432,Sony Pictures,-20%,2,630,7191.6,14596533.6,2022-02-18
2,Sing 2,USA,3786830.4,Universal,-2%,4,721,5252.4,27978914.4,2022-02-18
3,Death On The Nile,UK/USA,1619274,Disney,-29%,2,730,2217.6,5685742.8,2022-02-18
4,Dog,USA,986547.6,Entertainment,-,1,478,2064,986547.6,2022-02-18
5,Belfast,UK,907657.2,Universal,-28%,5,645,1407.6,15586652.4,2022-02-18
6,Spider-Man: No Way Home,USA,767535.6,Sony Pictures,-5%,10,506,1516.8,112822736.4,2022-02-18
7,Jackass Forever,USA,702514.8,Paramount,-41%,3,478,1470,6307306.8,2022-02-18
8,Marry Me,USA,403731.6,Universal,-52%,2,476,848.4,2055882,2022-02-18
9,Clifford The Big Red Dog,UK/USA,192424.8,eOne Films,63%,11,415,463.2,11241828,2022-02-18
10,Encanto,USA,99646.8,Disney,-9%,13,341,292.8,9067272,2022-02-18
11,Scream,USA,92882.4,Paramount,-41%,6,202,459.6,8925975.6,2022-02-18
12,Moonfall,USA/Can/UK/Chn,91200,Entertainment,-64%,3,219,416.4,2434755.6,2022-02-18
13,The Beatles: Get Back - The Rooftop Concert,UK/Nzl/USA,90812.4,Disney,-5%,2,337,270,190825.2,2022-02-18
14,Parallel Mothers,Esp/USA,85960.8,Warner Bros,-34%,4,84,1023.6,1330952.4,2022-02-18
15,Aaraattu,Ind,78109.2,RFT Films,-,1,105,744,78109.2,2022-02-18
1,Uncharted,USA/Esp,3700922.4,Sony Pictures,-18%,3,631,5865.6,21717337.2,2022-02-25
2,Sing 2,USA,3207105.6,Universal,-15%,5,709,4524,34849051.2,2022-02-25
3,The Duke,UK,1191190.8,Warner Bros,-,1,651,1830,1191190.8,2022-02-25
4,Death On The Nile,UK/USA,917325.6,Disney,-43%,3,661,1387.2,7746259.2,2022-02-25
5,Dog,USA,781023.6,Entertainment,-21%,2,479,1630.8,2537982,2022-02-25
6,Spider-Man: No Way Home,USA,695072.4,Sony Pictures,-10%,11,462,1504.8,114458245.2,2022-02-25
7,Cyrano,UK/USA/Can,478380,Universal,-,1,613,780,478380,2022-02-25
8,Belfast,UK,439274.4,Universal,-52%,6,516,850.8,16802934,2022-02-25
9,Jackass Forever,USA,358496.4,Paramount,-49%,4,374,958.8,7043374.8,2022-02-25
10,The Godfather: 50th Anniversary,USA,320515.2,Paramount,-,1,466,687.6,320515.2,2022-02-25
11,Gangubai Kathiawadi,Ind,292617.6,Paramount,-,1,150,1951.2,292617.6,2022-02-25
12,Clifford The Big Red Dog,UK/USA,215973.6,eOne Films,12%,12,457,472.8,11711906.4,2022-02-25
13,Bheemla Nayak,Ind,176005.2,Dreamz Entertainment,-,1,35,5029.2,176005.2,2022-02-25
14,Studio 666,USA,162462,Sony Pictures,-,1,245,663.6,162462,2022-02-25
15,Marry Me,USA,162458.4,Universal,-60%,3,266,610.8,2538609.6,2022-02-25
1,The Batman,UK/USA,16238226,Warner Bros,-,1,706,23000.4,16238226,2022-03-04
2,Uncharted,USA/Esp,1602810,Sony Pictures,-57%,4,590,2716.8,24345523.2,2022-03-04
3,Sing 2,USA,1243460.4,Universal,-61%,6,660,1884,36415797.6,2022-03-04
4,The Duke,UK,818515.2,Warner Bros,-31%,2,651,1257.6,3288279.6,2022-03-04
5,Death On The Nile,UK/USA,340260,Disney,-63%,4,451,754.8,8580835.2,2022-03-04
6,Dog,USA,330249.6,Entertainment,-58%,3,412,801.6,3130202.4,2022-03-04
7,Spider-Man: No Way Home,USA,256248,Sony Pictures,-63%,12,353,726,114877166.4,2022-03-04
8,Belfast,UK,209330.4,Universal,-53%,7,364,574.8,17429845.2,2022-03-04
9,Ali & Ava,UK,127359.6,Altitude,-,1,132,964.8,127359.6,2022-03-04
10,Gangubai Kathiawadi,Ind,111154.8,Paramount,-62%,2,61,1822.8,557786.4,2022-03-04
11,Jackass Forever,USA,105086.4,Paramount,-71%,5,228,460.8,7335591.6,2022-03-04
12,Clifford The Big Red Dog,UK/USA,75220.8,eOne Films,-65%,13,400,188.4,11789632.8,2022-03-04
13,The Godfather: Part II (Re: 2022),USA,54181.2,Paramount,-,1,202,268.8,54181.2,2022-03-04
14,Cyrano,UK/USA/Can,48145.2,Universal,-90%,2,261,184.8,749734.8,2022-03-04
15,Parallel Mothers,Esp/USA,31972.8,Warner Bros,-27%,6,51,626.4,1522466.4,2022-03-04
1,The Batman,UK/USA,8887668,Warner Bros,-45%,2,715,12430.8,31850217.6,2022-03-11
2,Uncharted,USA/Esp,1271833.2,Sony Pictures,-21%,5,595,2137.2,26114780.4,2022-03-11
3,BTS Permission To Dance On Stage - Seoul: Live Viewing (Concert),Kor,1078952.4,Trafalgar,-,1,351,3074.4,1078952.4,2022-03-11
4,Sing 2,USA,982983.6,Universal,-21%,7,652,1507.2,37562359.2,2022-03-11
5,The Duke,UK,600898.8,Warner Bros,-27%,3,644,933.6,4639394.4,2022-03-11
6,Dog,USA,334863.6,Entertainment,1%,4,449,745.2,3595636.8,2022-03-11
7,Death On The Nile,UK/USA,277474.8,Disney,-19%,5,409,678,9078231.6,2022-03-11
8,Spider-Man: No Way Home,USA,244687.2,Sony Pictures,-5%,13,379,645.6,115193953.2,2022-03-11
9,Radhe Shyam,Ind,224046,Great India Films,-,1,124,1807.2,224046,2022-03-11
10,Belfast,UK,169536,Universal,-20%,8,434,391.2,17805678,2022-03-11
11,Clifford The Big Red Dog,UK/USA,93014.4,eOne Films,24%,14,423,219.6,11885504.4,2022-03-11
12,Red Rocket,USA,89650.8,Universal,-,1,168,534,89650.8,2022-03-11
13,Jackass Forever,USA,76830,Paramount,-27%,6,215,357.6,7466200.8,2022-03-11
14,Gangubai Kathiawadi,Ind,74602.8,Paramount,-33%,3,57,1309.2,699694.8,2022-03-11
15,The Kashmir Files,Ind,70362,Zee Studios,-,1,18,3909.6,70362,2022-03-11
1,The Batman,UK/USA,4021545.6,Warner Bros,-55%,3,703,5720.4,39120010.8,2022-03-18
2,Jujutsu Kaisen 0,Jpn,990634.8,Sony Pictures,-,1,332,2984.4,990634.8,2022-03-18
3,Uncharted,USA/Esp,726867.6,Sony Pictures,-43%,6,558,1303.2,27244897.2,2022-03-18
4,The Nan Movie,UK,678408,Warner Bros,-,1,514,1320,678408,2022-03-18
5,The Phantom Of The Open,UK,548194.8,eOne Films,-,1,626,876,548194.8,2022-03-18
6,Sing 2,USA,505981.2,Universal,-49%,8,623,812.4,38225596.8,2022-03-18
7,X,USA,273002.4,Entertainment,-,1,480,568.8,273002.4,2022-03-18
8,The Duke,UK,272223.6,Warner Bros,-55%,4,522,522,5455740,2022-03-18
9,The Kashmir Files,Ind,171578.4,Zee Studios,144%,2,52,3300,314066.4,2022-03-18
10,Dog,USA,145717.2,Entertainment,-57%,5,386,378,3873714,2022-03-18
11,Spider-Man: No Way Home,USA,116071.2,Sony Pictures,-53%,14,325,357.6,115555483.2,2022-03-18
12,Death On The Nile,UK/USA,103856.4,Disney,-63%,6,265,392.4,9357698.4,2022-03-18
13,Belfast,UK,76688.4,Universal,-56%,9,274,279.6,18139237.2,2022-03-18
14,Bachchan Pandey,Ind,73761.6,Cinestaan AA Distributors,-,1,90,819.6,73761.6,2022-03-18
15,"Paris, 13th District",Fra,66583.2,Curzon,-,1,41,1623.6,66583.2,2022-03-18
1,The Batman,UK/USA,1997403.6,Warner Bros,-50%,4,683,2924.4,42763695.6,2022-03-25
2,RRR,Ind,780244.8,Dreamz Entertainment,-,1,160,4876.8,780244.8,2022-03-25
3,Ambulance,USA,625258.8,Universal,-,1,595,1051.2,625258.8,2022-03-25
4,Uncharted,USA/Esp,419348.4,Sony Pictures,-42%,7,511,820.8,27893455.2,2022-03-25
5,The Nan Movie,UK,347677.2,Warner Bros,-49%,2,504,690,1379092.8,2022-03-25
6,The Phantom Of The Open,UK,262351.2,eOne Films,-52%,2,626,418.8,1278132,2022-03-25
7,The Worst Person In The World,Nor/Fra/Swe/Dnk,232191.6,MUBI,-,1,125,1857.6,232191.6,2022-03-25
8,Sing 2,USA,208947.6,Universal,-59%,9,567,368.4,38500123.2,2022-03-25
9,Jujutsu Kaisen 0,Jpn,187360.8,Sony Pictures,-81%,2,293,639.6,1446186,2022-03-25
10,The Duke,UK,102781.2,Warner Bros,-63%,5,381,270,5810665.2,2022-03-25
11,X,USA,94827.6,Entertainment,-65%,2,362,261.6,582960,2022-03-25
12,Don Carlos - Met Opera 2022 (Opera),USA,87132,Trafalgar,-,1,139,626.4,87132,2022-03-25
13,The Kashmir Files,Ind,69768,Zee Studios,-59%,3,78,894,447698.4,2022-03-25
14,Belfast,UK,64347.6,Universal,-17%,10,215,298.8,18298188,2022-03-25
15,Spider-Man: No Way Home,USA,53859.6,Sony Pictures,-54%,15,237,226.8,115637478,2022-03-25
1,Sonic The Hedgehog 2,USA/Jpn,5983600.8,Paramount,-,1,650,9205.2,5983600.8,2022-04-01
2,Morbius,UK/USA,3905796,Sony Pictures,-,1,638,6122.4,3905796,2022-04-01
3,The Bad Guys,USA,2734888.8,Universal,-,1,616,4440,2734888.8,2022-04-01
4,The Batman,UK/USA,1440463.2,Warner Bros,-28%,5,617,2335.2,45426393.6,2022-04-01
5,Ambulance,USA,327618,Universal,-48%,2,528,620.4,1421289.6,2022-04-01
6,Uncharted,USA/Esp,268200,Sony Pictures,-37%,8,392,684,28369771.2,2022-04-01
7,The Worst Person In The World,Nor/Fra/Swe/Dnk,184170,MUBI,-21%,2,125,1473.6,597738,2022-04-01
8,The Nan Movie,UK,164746.8,Warner Bros,-53%,3,310,531.6,1804508.4,2022-04-01
9,The Phantom Of The Open,UK,146509.2,eOne Films,-44%,3,348,421.2,1774750.8,2022-04-01
10,Sing 2,USA,117062.4,Universal,-44%,10,407,288,38695159.2,2022-04-01
11,RRR,Ind,98793.6,Dreamz Entertainment,-87%,2,85,1162.8,1074486,2022-04-01
12,Jujutsu Kaisen 0,Jpn,70689.6,Sony Pictures,-63%,3,147,481.2,1635842.4,2022-04-01
13,Belfast,UK,66327.6,Universal,0%,11,93,712.8,18483697.2,2022-04-01
14,True Things,UK,55423.2,Picture House Entertainment,-,1,67,826.8,55423.2,2022-04-01
15,The Duke,UK,53725.2,Warner Bros,-49%,6,143,375.6,6056485.2,2022-04-01
1,Fantastic Beasts: The Secrets Of Dumbledore,UK/USA,7061922,Warner Bros,-,1,711,9932.4,7061922,2022-04-08
2,Sonic The Hedgehog 2,USA/Jpn,3483640.8,Paramount,-42%,2,685,5085.6,12771699.6,2022-04-08
3,The Bad Guys,USA,1344127.2,Universal,-51%,2,635,2116.8,5821936.8,2022-04-08
4,Morbius,UK/USA,888403.2,Sony Pictures,-77%,2,616,1442.4,6101125.2,2022-04-08
5,The Batman,UK/USA,748639.2,Warner Bros,-48%,6,550,1360.8,47076490.8,2022-04-08
6,Uncharted,USA/Esp,130846.8,Sony Pictures,-52%,9,246,531.6,28731434.4,2022-04-08
