Rank,Film,Country_of_Origin,Weekend_gross,Distributor,Change_on_last_week,Weeks_on_release,Number_of_cinemas,Site_avg,Total_gross_to_date,Date
3,Elvis,USA/Aus,1591023.6,Warner Bros,-55%,3,733,2170.8,16562473.2,2022-07-08
4,Top Gun: Maverick,USA,1202994,Paramount,-62%,7,646,1862.4,84764223.6,2022-07-08
5,Jurassic World: Dominion,UK/USA,672199.2,Universal,-69%,5,538,1249.2,38087487.6,2022-07-08
6,Lightyear,USA,272934,Disney,-74%,4,593,460.8,10835046,2022-07-08
7,The Black Phone,USA,249105.6,Universal,-64%,3,360,692.4,3884773.2,2022-07-08
8,London Nahi Jaunga,Pak,110540.4,Rising Star Entertainment,-,1,61,1812,110540.4,2022-07-08
9,Brian & Charles,UK,86268,Universal,-,1,143,603.6,86268,2022-07-08
10,Dr. Who: Classic Movie Double Bill,UK,77676,StudioCanal,-,1,326,238.8,77676,2022-07-08
11,"Good Luck To You, Leo Grande",UK/USA,33096,Lionsgate,-61%,4,115,288,1029673.2,2022-07-08
12,Everything Everywhere All At Once,USA,23811.6,A24,-66%,9,42,566.4,6076880.4,2022-07-08
13,Jug Jugg Jeeyo,Ind,18339.6,Moviegoers,-76%,3,31,591.6,419211.6,2022-07-08
14,Quaid-E-Azam Zindabad,Pak,17337.6,Seven Colours,-,1,40,433.2,17337.6,2022-07-08
15,Sohreyan Da Pind Aa Gaya,Ind,16876.8,Zee Studios,-,1,16,1054.8,16876.8,2022-07-08
1,Thor: Love And Thunder,USA/Aus,4876527.6,Disney,-67%,2,701,6956.4,25064854.8,2022-07-15
2,Minions: The Rise Of Gru,USA,3196579.2,Universal,-38%,3,682,4687.2,27756338.4,2022-07-15
3,Elvis,USA/Aus,1204584,Warner Bros,-25%,4,710,1696.8,19387474.8,2022-07-15
4,Top Gun: Maverick,USA,972765.6,Paramount,-19%,8,627,1551.6,86772102,2022-07-15
5,Jurassic World: Dominion,UK/USA,460202.4,Universal,-32%,6,489,940.8,38992933.2,2022-07-15
6,The Railway Children Return,UK,438577.2,StudioCanal,-,1,623,704.4,438577.2,2022-07-15
7,Lightyear,USA,194410.8,Disney,-30%,5,539,361.2,11192548.8,2022-07-15
8,The Black Phone,USA,178996.8,Universal,-28%,4,280,639.6,4285908,2022-07-15
9,London Nahi Jaunga,Pak,79630.8,Rising Star Entertainment,-28%,2,37,2151.6,288168,2022-07-15
10,Kaduva,Ind,56824.8,RFT Films,473444%,2,69,823.2,56836.8,2022-07-15
11,Brian & Charles,UK,32658,Universal,-62%,2,102,320.4,187393.2,2022-07-15
12,The Warriorr,Ind,31020,Dreamz Entertainment,-,1,65,477.6,31020,2022-07-15
13,Everything Everywhere All At Once,USA,27150,A24,13%,10,45,603.6,6132891.6,2022-07-15
14,"Good Luck To You, Leo Grande",UK/USA,25460.4,Lionsgate,-31%,5,80,318,1116996,2022-07-15
15,The Bad Guys,USA,23155.2,Universal,38%,16,276,84,16118346,2022-07-15
1,Minions: The Rise Of Gru,USA,3703648.8,Universal,15%,4,708,5230.8,33862346.4,2022-07-22
2,Thor: Love And Thunder,USA/Aus,3663358.8,Disney,-25%,3,704,5203.2,31783101.6,2022-07-22
3,Where The Crawdads Sing,USA,1674844.8,Sony Pictures,-,1,684,2449.2,1674844.8,2022-07-22
4,Elvis,USA/Aus,1484139.6,Warner Bros,22%,5,676,2196,22142478,2022-07-22
5,Top Gun: Maverick,USA,1314157.2,Paramount,34%,9,603,2179.2,89021220,2022-07-22
6,Prima Facie – NT Live 2022 (Theatre),UK,536416.8,National Theatre,-,2,347,1545.6,2205451.2,2022-07-22
7,Jurassic World: Dominion,UK/USA,523083.6,Universal,12%,7,462,1132.8,39889938,2022-07-22
8,The Railway Children Return,UK,376530,StudioCanal,-15%,2,652,577.2,1369522.8,2022-07-22
9,Lightyear,USA,259888.8,Disney,30%,6,542,480,11614662,2022-07-22
10,The Black Phone,USA,210741.6,Universal,17%,5,236,892.8,4634017.2,2022-07-22
11,Shamshera,Ind,57483.6,Yash Raj,-,1,61,942,57483.6,2022-07-22
12,London Nahi Jaunga,Pak,56584.8,Rising Star Entertainment,-29%,3,33,1714.8,382048.8,2022-07-22
13,The Bad Guys,USA,38938.8,Universal,67%,17,290,134.4,16174713.6,2022-07-22
14,Malayankunju,Ind,31586.4,DG Tech,-,1,31,1018.8,31586.4,2022-07-22
15,Everything Everywhere All At Once,USA,30567.6,A24,11%,11,41,745.2,6191796,2022-07-22
1,DC League Of Super-Pets,USA,3233551.2,Warner Bros,-,1,665,4862.4,3233551.2,2022-07-29
2,Minions: The Rise Of Gru,USA,2390413.2,Universal,-36%,5,704,3396,40218010.8,2022-07-29
3,Thor: Love And Thunder,USA/Aus,2289814.8,Disney,-38%,4,690,3318,36998522.4,2022-07-29
4,Elvis,USA/Aus,1322600.4,Warner Bros,-12%,6,660,2004,25038751.2,2022-07-29
5,Top Gun: Maverick,USA,1177354.8,Paramount,-10%,10,597,1971.6,91386418.8,2022-07-29
6,Where The Crawdads Sing,USA,1027010.4,Sony Pictures,-39%,2,703,1460.4,4520473.2,2022-07-29
7,Dirty Dancing (Secret Cinema 2022),USA,678936,Lionsgate,-10%,4,1,678936,2876487.6,2022-07-29
8,Jurassic World: Dominion,UK/USA,345610.8,Universal,-34%,8,401,861.6,40744870.8,2022-07-29
9,Prima Facie – NT Live 2022 (Theatre),UK,297818.4,National Theatre,-46%,3,243,1225.2,3052971.6,2022-07-29
10,The Railway Children Return,UK,228200.4,StudioCanal,-40%,3,572,398.4,2185575.6,2022-07-29
11,The Black Phone,USA,167715.6,Universal,-20%,6,201,834,4990878,2022-07-29
12,Ek Villain Returns,Ind,154192.8,DG Tech,-,1,44,3504,154192.8,2022-07-29
13,Lightyear,USA,109062,Disney,-59%,7,437,249.6,12062743.2,2022-07-29
14,Joyride,Irl/UK,71788.8,Vertigo,-,1,252,284.4,77788.8,2022-07-29
15,Fire Of Love,USA/Can,71763.6,Dogwoof,-,1,66,1087.2,71763.6,2022-07-29
1,Bullet Train,USA/Jpn,3429836.4,Sony Pictures,-,1,669,5126.4,3429836.4,2022-08-05
2,DC League Of Super-Pets,USA,1476506.4,Warner Bros,-54%,2,681,2168.4,7472110.8,2022-08-05
3,Minions: The Rise Of Gru,USA,1333155.6,Universal,-44%,6,692,1926,44048506.8,2022-08-05
4,Thor: Love And Thunder,USA/Aus,1125908.4,Disney,-51%,5,635,1773.6,39924489.6,2022-08-05
5,Elvis,USA/Aus,885414,Warner Bros,-34%,7,634,1396.8,27228061.2,2022-08-05
6,Top Gun: Maverick,USA,731290.8,Paramount,-38%,11,587,1245.6,93088657.2,2022-08-05
7,Where The Crawdads Sing,USA,602336.4,Sony Pictures,-41%,3,649,927.6,6367572,2022-08-05
8,Westlife: Live From Wembley Stadium,UK,561858,CinemaLive,-,1,528,1064.4,561858,2022-08-05
9,Prima Facie – NT Live 2022 (Theatre),UK,178400.4,National Theatre,-40%,4,163,1094.4,3757944,2022-08-05
10,Jurassic World: Dominion,UK/USA,164558.4,Universal,-53%,9,354,464.4,41206929.6,2022-08-05
11,The Railway Children Return,UK,118947.6,StudioCanal,-48%,4,450,264,2663250,2022-08-05
12,The Black Phone,USA,106678.8,Universal,-37%,7,200,532.8,5223430.8,2022-08-05
13,Ek Villain Returns,Ind,86041.2,DG Tech,-44%,2,26,3309.6,364149.6,2022-08-05
14,Sita Ramam,Ind,42484.8,DG Tech,-,1,22,1930.8,42484.8,2022-08-05
15,Lightyear,USA,38551.2,Disney,-67%,8,320,120,12232938,2022-08-05
1,Nope,USA,2231205.6,Universal,-,1,676,3300,2231205.6,2022-08-12
2,Bullet Train,USA/Jpn,1091116.8,Sony Pictures,-68%,2,677,1611.6,6074610,2022-08-12
3,DC League Of Super-Pets,USA,998158.8,Warner Bros,-32%,3,690,1447.2,9850204.8,2022-08-12
4,Minions: The Rise Of Gru,USA,906050.4,Universal,-32%,7,675,1342.8,46280198.4,2022-08-12
5,Thor: Love And Thunder,USA/Aus,643006.8,Disney,-43%,6,581,1106.4,41474808,2022-08-12
6,Elvis,USA/Aus,504753.6,Warner Bros,-44%,8,598,843.6,28481887.2,2022-08-12
7,Laal Singh Chaddha,Ind,493426.8,Paramount,-,1,350,1410,493426.8,2022-08-12
8,Top Gun: Maverick,USA,485848.8,Paramount,-34%,12,547,888,94192370.4,2022-08-12
9,Where The Crawdads Sing,USA,307676.4,Sony Pictures,-49%,4,531,579.6,7358017.2,2022-08-12
10,Prima Facie – NT Live 2022 (Theatre),UK,124812,National Theatre,-31%,5,152,820.8,4350838.8,2022-08-12
11,Jurassic World: Dominion,UK/USA,88204.8,Universal,-46%,10,253,349.2,41451306,2022-08-12
12,Raksha Bandhan,Ind,87129.6,Zee Studios,-,1,111,784.8,87129.6,2022-08-12
13,The Railway Children Return,UK,78489.6,StudioCanal,-35%,5,367,213.6,2917279.2,2022-08-12
14,Viruman,Ind,41700,DG Tech,-,1,20,2084.4,41700,2022-08-12
15,The Black Phone,USA,37687.2,Universal,-65%,8,110,343.2,5342877.6,2022-08-12
1,Nope,USA,1377166.8,Universal,-38%,2,685,2010,5483836.8,2022-08-19
2,Bullet Train,USA/Jpn,1005358.8,Sony Pictures,-8%,3,601,1672.8,8251370.4,2022-08-19
3,DC League Of Super-Pets,USA,973532.4,Warner Bros,-3%,4,687,1417.2,12705571.2,2022-08-19
4,Minions: The Rise Of Gru,USA,903687.6,Universal,0%,8,664,1360.8,48879453.6,2022-08-19
5,Dragon Ball Super: SUPER HERO,Jpn,795948,Sony Pictures,-,1,509,1563.6,795948,2022-08-19
6,Fisherman’s Friends: One And All,UK,787551.6,Entertainment,-,1,640,1230,787551.6,2022-08-19
7,Top Gun: Maverick,USA,620919.6,Paramount,28%,13,512,1213.2,95480277.6,2022-08-19
8,Elvis,USA/Aus,592846.8,Warner Bros,17%,9,522,1135.2,29950790.4,2022-08-19
9,Thor: Love And Thunder,USA/Aus,590224.8,Disney,-8%,7,504,1171.2,42891253.2,2022-08-19
10,Orphan: First Kill,USA/Can,521521.2,Signature Entertainment,-,1,337,1548,521521.2,2022-08-19
11,Where The Crawdads Sing,USA,327784.8,Sony Pictures,6%,5,459,714,8273935.2,2022-08-19
12,Thiruchitrambalam,Ind,158530.8,Big Films,-,1,75,2113.2,158530.8,2022-08-19
13,Laal Singh Chaddha,Ind,128228.4,Paramount,-74%,2,156,822,842731.2,2022-08-19
14,Prima Facie – NT Live 2022 (Theatre),UK,102315.6,National Theatre,-25%,6,112,913.2,4764936,2022-08-19
15,Jurassic World: Dominion,UK/USA,96699.6,Universal,9%,11,260,372,41687443.2,2022-08-19
1,Andre Rieu’s 2022 Maastricht Summer Concert (Concert),Nld,958447.2,Piece of Magic,-,1,607,1579.2,958447.2,2022-08-26
2,Beast,USA/Isl,720310.8,Universal,-,1,599,1202.4,720310.8,2022-08-26
3,DC League Of Super-Pets,USA,718782,Warner Bros,-26%,5,665,1081.2,14746902,2022-08-26
4,Bullet Train,USA/Jpn,711652.8,Sony Pictures,-29%,4,561,1268.4,9783874.8,2022-08-26
5,Nope,USA,691971.6,Universal,-50%,3,609,1136.4,7199761.2,2022-08-26
6,Minions: The Rise Of Gru,USA,688214.4,Universal,-24%,9,645,1066.8,50862180,2022-08-26
7,Top Gun: Maverick,USA,659388,Paramount,5%,14,587,1123.2,96714812.4,2022-08-26
8,Elvis,USA/Aus,458358,Warner Bros,-23%,10,508,902.4,31012028.4,2022-08-26
9,Thor: Love And Thunder,USA/Aus,386760,Disney,-35%,8,467,828,43852899.6,2022-08-26
10,Fisherman’s Friends: One And All,UK,379827.6,Entertainment,-52%,2,622,610.8,2147863.2,2022-08-26
11,Orphan: First Kill,USA/Can,376524,Signature Entertainment,-28%,2,351,1072.8,1364598,2022-08-26
12,The Invitation,USA/Hun,314149.2,Sony Pictures,-,1,428,734.4,314149.2,2022-08-26
13,Where The Crawdads Sing,USA,200912.4,Sony Pictures,-40%,6,366,548.4,8854474.8,2022-08-26
14,Dragon Ball Super: SUPER HERO,Jpn,148429.2,Sony Pictures,-82%,2,407,364.8,1255378.8,2022-08-26
15,Liger,Ind/USA,116626.8,DG Tech,-,1,95,1227.6,116626.8,2022-08-26
1,Minions: The Rise Of Gru,USA,1267395.6,Universal,84%,10,634,1999.2,53038774.8,2022-09-02
2,DC League Of Super-Pets,USA,1210303.2,Warner Bros,68%,6,637,1899.6,16837777.2,2022-09-02
3,Top Gun: Maverick,USA,720309.6,Paramount,9%,15,570,1263.6,97954804.8,2022-09-02
4,Bullet Train,USA/Jpn,664920,Sony Pictures,-7%,5,487,1365.6,11088002.4,2022-09-02
5,Spider-Man: No Way Home,USA,563170.8,Sony Pictures,-,38,567,993.6,116284279.2,2022-09-02
6,Nope,USA,547004.4,Universal,-21%,4,491,1113.6,8345980.8,2022-09-02
7,E.T. (40th Anniversary),USA,526458,Universal,-,1,529,994.8,526458,2022-09-02
8,Elvis,USA/Aus,465046.8,Warner Bros,1%,11,520,894,31920100.8,2022-09-02
9,Beast,USA/Isl,457202.4,Universal,-37%,2,592,772.8,1760188.8,2022-09-02
10,Three Thousand Years Of Longing,USA/Aus,368611.2,Entertainment,-,1,546,675.6,368611.2,2022-09-02
11,Thor: Love And Thunder,USA/Aus,348849.6,Disney,-10%,9,381,915.6,44610733.2,2022-09-02
12,Orphan: First Kill,USA/Can,288337.2,Signature Entertainment,-23%,3,272,1059.6,1984677.6,2022-09-02
13,Fall,USA/UK,264324,Signature Entertainment,-,1,442,597.6,264324,2022-09-02
14,Fisherman’s Friends: One And All,UK,252678,Entertainment,-34%,3,540,468,2945844,2022-09-02
15,The Forgiven,UK,219326.4,Universal,-,1,423,518.4,219326.4,2022-09-02
1,See How They Run,UK/USA,1396182,Disney,-,1,690,2023.2,1396182,2022-09-09
2,Tad The Lost Explorer And The Curse Of The Mummy,Esp,982230,Paramount,-,1,614,1599.6,982230,2022-09-09
3,Jaws (Re: 2022),USA,629079.6,Universal,-,1,447,1407.6,629079.6,2022-09-09
4,Brahmastra Part 1: Shiva,UK/Ind/USA,620331.6,Disney,-,1,217,2858.4,620331.6,2022-09-09
5,Minions: The Rise Of Gru,USA,459097.2,Universal,-64%,11,580,792,53731026,2022-09-09
6,DC League Of Super-Pets,USA,438356.4,Warner Bros,-64%,7,580,756,17467490.4,2022-09-09
7,Bodies Bodies Bodies,USA,421390.8,Sony Pictures,-,1,521,808.8,421390.8,2022-09-09
8,Bullet Train,USA/Jpn,413332.8,Sony Pictures,-38%,6,407,1015.2,11824501.2,2022-09-09
9,Top Gun: Maverick,USA,373386,Paramount,-48%,16,480,777.6,98898501.6,2022-09-09
10,Nope,USA,275925.6,Universal,-50%,5,378,729.6,8915799.6,2022-09-09
11,Elvis,USA/Aus,258808.8,Warner Bros,-45%,12,422,613.2,32452586.4,2022-09-09
12,Orphan: First Kill,USA/Can,188217.6,Signature Entertainment,-35%,4,218,862.8,2335441.2,2022-09-09
13,Beast,USA/Isl,145670.4,Universal,-68%,3,382,381.6,2103484.8,2022-09-09
14,Thor: Love And Thunder,USA/Aus,124801.2,Disney,-64%,10,297,420,44843233.2,2022-09-09
15,Fisherman’s Friends: One And All,UK,114200.4,Entertainment,-56%,4,381,300,3346173.6,2022-09-09
1,See How They Run,UK/USA,1181734.8,Disney,-15%,2,717,1647.6,3397476,2022-09-16
2,Bullet Train,USA/Jpn,390302.4,Sony Pictures,-6%,7,390,1000.8,12420693.6,2022-09-16
3,Minions: The Rise Of Gru,USA,386095.2,Universal,-16%,12,572,674.4,54173634,2022-09-16
4,Top Gun: Maverick,USA,385155.6,Paramount,3%,17,509,757.2,99461737.2,2022-09-16
5,DC League Of Super-Pets,USA,369504,Warner Bros,-16%,8,564,655.2,17879604,2022-09-16
6,Tad The Lost Explorer And The Curse Of The Mummy,Esp,337801.2,Paramount,-66%,2,613,550.8,1383016.8,2022-09-16
7,Elvis,USA/Aus,245518.8,Warner Bros,-5%,13,449,547.2,32846353.2,2022-09-16
8,Brahmastra Part 1: Shiva,UK/Ind/USA,242172,Disney,-61%,2,198,1222.8,1084189.2,2022-09-16
9,Bodies Bodies Bodies,USA,234908.4,Sony Pictures,-44%,2,492,477.6,882343.2,2022-09-16
10,Moonage Daydream,USA/Deu,217760.4,Universal,-,1,51,4269.6,217760.4,2022-09-16
11,Nope,USA,215791.2,Universal,-22%,6,314,687.6,9301263.6,2022-09-16
12,Jaws (Re: 2022),USA,198372,Universal,-68%,2,309,642,1015736.4,2022-09-16
13,Orphan: First Kill,USA/Can,162211.2,Signature Entertainment,-14%,5,205,790.8,2591097.6,2022-09-16
14,Where The Crawdads Sing,USA,99390,Sony Pictures,9%,9,248,400.8,9738277.2,2022-09-16
15,Beast,USA/Isl,95803.2,Universal,-35%,4,282,339.6,2270222.4,2022-09-16
1,Ticket To Paradise,USA/UK,3366738,Universal,-,1,687,4900.8,3366738,2022-09-23
2,Don't Worry Darling,USA,3326322,Warner Bros,-,1,693,4800,3326322,2022-09-23
3,Avatar (Re: 2022),USA,1462431.6,Disney,-,1,535,2733.6,1462431.6,2022-09-23
4,See How They Run,UK/USA,567866.4,Disney,-52%,3,640,886.8,4435382.4,2022-09-23
5,Moonage Daydream,USA/Deu,450478.8,Universal,107%,2,559,806.4,811422,2022-09-23
6,Minions: The Rise Of Gru,USA,321424.8,Universal,-17%,13,536,600,54535867.2,2022-09-23
7,DC League Of Super-Pets,USA,284335.2,Warner Bros,-23%,9,526,540,18194814,2022-09-23
8,Tad The Lost Explorer And The Curse Of The Mummy,Esp,242078.4,Paramount,-28%,3,598,404.4,1653819.6,2022-09-23
9,Bullet Train,USA/Jpn,183536.4,Sony Pictures,-53%,8,268,685.2,12714187.2,2022-09-23
10,Top Gun: Maverick,USA,167353.2,Paramount,-57%,18,341,490.8,99744192,2022-09-23
11,Orphan: First Kill,USA/Can,77469.6,Signature Entertainment,-52%,6,143,541.2,2719663.2,2022-09-23
12,Nope,USA,66340.8,Universal,-70%,7,146,454.8,9443788.8,2022-09-23
13,Elvis,USA/Aus,64684.8,Warner Bros,-74%,14,185,349.2,32990916,2022-09-23
14,Brahmastra Part 1: Shiva,UK/Ind/USA,56236.8,Disney,-77%,3,85,661.2,1194284.4,2022-09-23
15,Bodies Bodies Bodies,USA,52789.2,Sony Pictures,-78%,3,220,240,1032319.2,2022-09-23
1,Smile,USA,2232542.4,Paramount,-,1,519,4302,2235361.2,2022-09-30
2,Don't Worry Darling,USA,2202198,Warner Bros,-34%,2,706,3118.8,7433716.8,2022-09-30
3,Ticket To Paradise,USA/UK,1604659.2,Universal,-52%,2,681,2356.8,6203530.8,2022-09-30
4,Mrs. Harris Goes To Paris,UK/Hun,969380.4,Universal,-,1,661,1466.4,969380.4,2022-09-30
5,Ponniyin Selvan: I,Ind,894463.2,DG Tech,-,1,119,7516.8,894463.2,2022-09-30
6,Avatar (Re: 2022),USA,881918.4,Disney,-40%,2,491,1796.4,2889906,2022-09-30
7,See How They Run,UK/USA,382419.6,Disney,-33%,4,526,727.2,5153823.6,2022-09-30
8,Minions: The Rise Of Gru,USA,341884.8,Universal,6%,14,509,672,54917455.2,2022-09-30
9,DC League Of Super-Pets,USA,268994.4,Warner Bros,-6%,10,489,549.6,18495296.4,2022-09-30
10,Tad The Lost Explorer And The Curse Of The Mummy,Esp,245479.2,Paramount,1%,4,567,433.2,1927664.4,2022-09-30
11,Moonage Daydream,USA/Deu,245218.8,Universal,-46%,3,376,651.6,1390497.6,2022-09-30
12,Vikram Vedha,Ind,164626.8,DG Tech,-,1,134,1228.8,164626.8,2022-09-30
13,Bullet Train,USA/Jpn,117694.8,Sony Pictures,-36%,9,170,692.4,12919438.8,2022-09-30
14,Top Gun: Maverick,USA,109320,Paramount,-35%,19,216,506.4,99936321.6,2022-09-30
15,Ponniyin Selvan: I (Ireland),Ind,65676,2G Entertainments Ltd,-,1,21,3127.2,65676,2022-09-30
