Rank,Film,Country_of_Origin,Weekend_gross,Distributor,Change_on_last_week,Weeks_on_release,Number_of_cinemas,Site_avg,Total_gross_to_date,Date
1,Smile,USA,2058813.6,Paramount,-8%,2,521,3951.6,5702217.6,2022-10-07
2,The Woman King,USA,1570422,eOne Films,-,1,574,2736,1570422,2022-10-07
3,Don't Worry Darling,USA,1224099.6,Warner Bros,-44%,3,664,1843.2,9851276.4,2022-10-07
4,Ticket To Paradise,USA/UK,1033406.4,Universal,-36%,3,651,1587.6,8076824.4,2022-10-07
5,Amsterdam,USA,759266.4,Disney,-,1,614,1236,759266.4,2022-10-07
6,Mrs. Harris Goes To Paris,UK/Hun,617972.4,Universal,-36%,2,659,937.2,2694638.4,2022-10-07
7,The Lost King,UK,442503.6,Warner Bros,-,1,559,792,442503.6,2022-10-07
8,Ponniyin Selvan: I,Ind,226795.2,DG Tech,-75%,2,91,2492.4,1338579.6,2022-10-07
9,Minions: The Rise Of Gru,USA,198703.2,Universal,-42%,15,449,442.8,55141486.8,2022-10-07
10,See How They Run,UK/USA,133590,Disney,-65%,5,320,417.6,5478544.8,2022-10-07
11,DC League Of Super-Pets,USA,133047.6,Warner Bros,-51%,11,415,320.4,18646624.8,2022-10-07
12,Babe Bhangra Paunde Ne,Ind,120524.4,White Hill Studios,-,1,57,2114.4,120524.4,2022-10-07
13,Godfather,Ind,111854.4,Dreamz Entertainment,-,1,44,2541.6,111854.4,2022-10-07
14,Moonage Daydream,USA/Deu,101012.4,Universal,-59%,4,177,571.2,1655727.6,2022-10-07
15,Tad The Lost Explorer And The Curse Of The Mummy,Esp,78446.4,Paramount,-68%,5,417,188.4,2021286,2022-10-07
1,"Lyle, Lyle, Crocodile",USA,3340274.4,Sony Pictures,-,1,652,5122.8,3340274.4,2022-10-14
2,Halloween Ends,USA,2532012,Universal,-,1,574,4411.2,2532012,2022-10-14
3,Smile,USA,1704830.4,Paramount,-17%,3,528,3229.2,8664634.8,2022-10-14
4,Ticket To Paradise,USA/UK,740449.2,Universal,-28%,4,578,1281.6,9355320,2022-10-14
5,Don't Worry Darling,USA,733009.2,Warner Bros,-40%,4,582,1260,11223655.2,2022-10-14
6,The Woman King,USA,731896.8,eOne Films,-53%,2,542,1350,2872179.6,2022-10-14
7,Mrs. Harris Goes To Paris,UK/Hun,464043.6,Universal,-25%,3,619,750,3898873.2,2022-10-14
8,Amsterdam,USA,393531.6,Disney,-48%,2,594,662.4,1572811.2,2022-10-14
9,The Legend Of Maula Jatt,Pak,378262.8,Moviegoers,-,1,78,4849.2,378262.8,2022-10-14
10,Emily,UK,331586.4,Warner Bros,-,1,545,608.4,331586.4,2022-10-14
11,The Lost King,UK,235130.4,Warner Bros,-47%,2,481,488.4,1056130.8,2022-10-14
12,Minions: The Rise Of Gru,USA,142160.4,Universal,-29%,16,421,337.2,55315508.4,2022-10-14
13,DC League Of Super-Pets,USA,101678.4,Warner Bros,-24%,12,386,264,18769003.2,2022-10-14
14,See How They Run,UK/USA,76225.2,Disney,-44%,6,159,480,5645844,2022-10-14
15,Moonage Daydream,USA/Deu,70324.8,Universal,-31%,5,104,676.8,1799884.8,2022-10-14
1,Black Adam,USA,6786003.6,Warner Bros,-,1,650,10440,6786003.6,2022-10-21
2,The Banshees Of Inisherin,UK/Irl/USA,1971864,Disney,-,1,546,3612,1971864,2022-10-21
3,"Lyle, Lyle, Crocodile",USA,1723384.8,Sony Pictures,-48%,2,707,2437.2,5904618,2022-10-21
4,Smile,USA,1195772.4,Paramount,-30%,4,509,2349.6,10822422,2022-10-21
5,Halloween Ends,USA,844005.6,Universal,-67%,2,576,1465.2,4390390.8,2022-10-21
6,Decision To Leave,Kor,492128.4,MUBI,-,1,114,4316.4,492128.4,2022-10-21
7,Ticket To Paradise,USA/UK,453844.8,Universal,-39%,5,481,943.2,10263031.2,2022-10-21
8,The Woman King,USA,355435.2,eOne Films,-52%,3,319,1114.8,3594471.6,2022-10-21
9,Don't Worry Darling,USA,343693.2,Warner Bros,-54%,5,421,816,11994967.2,2022-10-21
10,Mrs. Harris Goes To Paris,UK/Hun,252522,Universal,-46%,4,425,594,4693477.2,2022-10-21
11,The Legend Of Maula Jatt,Pak,244699.2,Moviegoers,-35%,2,76,3219.6,897130.8,2022-10-21
12,Minions: The Rise Of Gru,USA,116106,Universal,-18%,17,338,343.2,55484788.8,2022-10-21
13,Emily,UK,99108,Warner Bros,-70%,2,274,361.2,728323.2,2022-10-21
14,The Lost King,UK,87217.2,Warner Bros,-63%,3,211,412.8,1386069.6,2022-10-21
15,Amsterdam,USA,82197.6,Disney,-79%,3,199,412.8,1881410.4,2022-10-21
1,Black Adam,USA,4186560,Warner Bros,-38%,2,654,6402,16131757.2,2022-10-28
2,"Lyle, Lyle, Crocodile",USA,1798921.2,Sony Pictures,4%,3,699,2574,10852411.2,2022-10-28
3,The Banshees Of Inisherin,UK/Irl/USA,1524385.2,Disney,-23%,2,577,2642.4,5071990.8,2022-10-28
4,Prey For The Devil,USA,1031660.4,Lionsgate,-,1,464,2223.6,1031660.4,2022-10-28
5,Coldplay Music Of The Spheres Live Broadcast From Buenos Aires (Concert),Arg,894650.4,Trafalgar,-,1,459,1948.8,894650.4,2022-10-28
6,Smile,USA,775300.8,Paramount,-35%,5,532,1456.8,12351252,2022-10-28
7,Harry Potter And The Chamber Of Secrets (20th Anniversary),UK/USA,545100,Warner Bros,-,1,449,1214.4,545100,2022-10-28
8,Barbarian,USA,456974.4,Disney,-,1,423,1080,456974.4,2022-10-28
9,Halloween Ends,USA,398125.2,Universal,-53%,3,498,799.2,5321755.2,2022-10-28
10,Triangle Of Sadness,UK/Swe/Fra/Deu,370740,Lionsgate,-,1,125,2966.4,370740,2022-10-28
11,Bros,USA,258734.4,Universal,-,1,482,536.4,258734.4,2022-10-28
12,Ticket To Paradise,USA/UK,252120,Universal,-45%,6,350,720,10981082.4,2022-10-28
13,The Woman King,USA,187804.8,eOne Films,-47%,4,157,1196.4,4037980.8,2022-10-28
14,The Legend Of Maula Jatt,Pak,145335.6,Moviegoers,-41%,3,61,2382,1236151.2,2022-10-28
15,Decision To Leave,Kor,127869.6,MUBI,-74%,2,153,835.2,780000,2022-10-28
1,Black Adam,USA,2408186.4,Warner Bros,-43%,3,650,3704.4,20473890,2022-11-04
2,"Lyle, Lyle, Crocodile",USA,1175380.8,Sony Pictures,-35%,4,666,1765.2,12974245.2,2022-11-04
3,The Banshees Of Inisherin,UK/Irl/USA,1171587.6,Disney,-23%,3,658,1780.8,7534128,2022-11-04
4,Living,UK,804247.2,Lionsgate,-,1,258,3117.6,804247.2,2022-11-04
5,One Piece Film: Red,Jpn,671547.6,Anime,-,1,289,2323.2,671547.6,2022-11-04
6,Prey For The Devil,USA,437670,Lionsgate,-58%,2,471,928.8,2043806.4,2022-11-04
7,Smile,USA,422211.6,Paramount,-46%,6,457,924,13315296,2022-11-04
8,Triangle Of Sadness,UK/Swe/Fra/Deu,260106,Lionsgate,-30%,2,175,1486.8,830746.8,2022-11-04
9,Barbarian,USA,237054,Disney,-48%,2,391,606,1070244,2022-11-04
10,Ticket To Paradise,USA/UK,209298,Universal,-18%,7,346,604.8,11383563.6,2022-11-04
11,Ania,Pol,198174,Magnetes,-,1,175,1132.8,198174,2022-11-04
12,Watcher,USA/Are,168475.2,Universal,-,1,239,704.4,168475.2,2022-11-04
13,The Woman King,USA,164664,eOne Films,-12%,5,160,1029.6,4305320.4,2022-11-04
14,La Traviata - Met Opera 2022 (Opera),USA,122924.4,Trafalgar,-,1,141,872.4,122924.4,2022-11-04
15,The Legend Of Maula Jatt,Pak,116767.2,Moviegoers,-20%,4,55,2122.8,1449170.4,2022-11-04
1,Black Panther: Wakanda Forever,USA,14836644,Disney,-,1,699,21225.6,14836644,2022-11-11
2,Black Adam,USA,942793.2,Warner Bros,-61%,4,592,1592.4,22250089.2,2022-11-11
3,"Lyle, Lyle, Crocodile",USA,777646.8,Sony Pictures,-34%,5,643,1209.6,13879866,2022-11-11
4,The Banshees Of Inisherin,UK/Irl/USA,672752.4,Disney,-43%,4,606,1110,8976915.6,2022-11-11
5,Living,UK,592341.6,Lionsgate,-26%,2,392,1510.8,2082505.2,2022-11-11
6,Prey For The Devil,USA,203898,Lionsgate,-53%,3,324,628.8,2476292.4,2022-11-11
7,Smile,USA,189620.4,Paramount,-55%,7,319,594,13713723.6,2022-11-11
8,Triangle Of Sadness,UK/Swe/Fra/Deu,167282.4,Lionsgate,-36%,3,148,1130.4,1177268.4,2022-11-11
9,One Piece Film: Red,Jpn,104817.6,Anime,-84%,2,229,457.2,900552,2022-11-11
10,Ticket To Paradise,USA/UK,79639.2,Universal,-62%,8,227,350.4,11602994.4,2022-11-11
11,Barbarian,USA,72020.4,Disney,-70%,3,186,387.6,1298444.4,2022-11-11
12,Watcher,USA/Are,58282.8,Universal,-65%,2,146,399.6,326642.4,2022-11-11
13,Minions: The Rise Of Gru,USA,54859.2,Universal,-49%,20,307,178.8,56069799.6,2022-11-11
14,The Woman King,USA,53161.2,eOne Films,-68%,6,92,578.4,4449315.6,2022-11-11
15,The Legend Of Maula Jatt,Pak,47380.8,Moviegoers,-59%,5,29,1634.4,1554139.2,2022-11-11
1,Black Panther: Wakanda Forever,USA,7428712.8,Disney,-50%,2,702,10582.8,27237589.2,2022-11-18
2,The Menu,USA,1118434.8,Disney,-,1,605,1849.2,1118434.8,2022-11-18
3,"Lyle, Lyle, Crocodile",USA,627036,Sony Pictures,-20%,6,632,992.4,14612280,2022-11-18
4,Black Adam,USA,595914,Warner Bros,-37%,5,514,1159.2,23178619.2,2022-11-18
5,Living,UK,407649.6,Lionsgate,-31%,3,419,973.2,3107610,2022-11-18
6,The Banshees Of Inisherin,UK/Irl/USA,388182,Disney,-43%,5,460,843.6,9858098.4,2022-11-18
7,Aftersun,UK/USA,276400.8,MUBI,-,1,109,2535.6,276400.8,2022-11-18
8,Listy Do M. 5,Pol,246768,Magnetes,-,1,232,1063.2,246768,2022-11-18
9,Drishyam 2,Ind,176216.4,Yash Raj,-,1,71,2481.6,176216.4,2022-11-18
10,Matthew Bourne’s Nutcracker! (Dance),UK,148284,Trafalgar,-,2,224,662.4,280460.4,2022-11-18
11,Liam Gallagher - Knebworth 22 (Concert),UK,141186,Trafalgar,-,2,334,422.4,268606.8,2022-11-18
12,Triangle Of Sadness,UK/Swe/Fra/Deu,111532.8,Lionsgate,-33%,4,94,1186.8,1398136.8,2022-11-18
13,Prey For The Devil,USA,108463.2,Lionsgate,-47%,4,212,511.2,2698670.4,2022-11-18
14,Smile,USA,85189.2,Paramount,-55%,8,224,380.4,13901406,2022-11-18
15,Armageddon Time,USA,80451.6,Universal,-,1,305,264,80451.6,2022-11-18
1,Roald Dahl’s Matilda The Musical,UK/USA,4962501.6,Sony Pictures,-,1,684,7255.2,4962501.6,2022-11-25
2,Black Panther: Wakanda Forever,USA,3233336.4,Disney,-56%,3,669,4833.6,32480022,2022-11-25
3,Strange World,USA,999651.6,Disney,-,1,573,1744.8,999651.6,2022-11-25
4,She Said,USA,533767.2,Universal,-,1,529,1009.2,533767.2,2022-11-25
5,The Menu,USA,515426.4,Disney,-55%,2,598,861.6,2352673.2,2022-11-25
6,Bones And All,Ita/USA,381895.2,Warner Bros,-,1,466,819.6,381895.2,2022-11-25
7,Black Adam,USA,200048.4,Warner Bros,-66%,6,360,555.6,23544291.6,2022-11-25
8,Living,UK,157590,Lionsgate,-61%,4,299,526.8,3661245.6,2022-11-25
9,"Lyle, Lyle, Crocodile",USA,140725.2,Sony Pictures,-78%,7,498,282,14810404.8,2022-11-25
10,A Christmas Carol - A Ghost Story (Theatre),UK,135843.6,Trafalgar,-,1,313,434.4,135843.6,2022-11-25
11,The Banshees Of Inisherin,UK/Irl/USA,135001.2,Disney,-65%,6,229,589.2,10243569.6,2022-11-25
12,Aftersun,UK/USA,132661.2,MUBI,-52%,2,107,1239.6,588349.2,2022-11-25
13,Table For Six,Hkg,83679.6,Haven Productions,-,1,39,2145.6,83679.6,2022-11-25
14,Drishyam 2,Ind,74244,Yash Raj,-58%,2,45,1650,344907.6,2022-11-25
15,Triangle Of Sadness,UK/Swe/Fra/Deu,65085.6,Lionsgate,-42%,5,61,1066.8,1544505.6,2022-11-25
1,Roald Dahl’s Matilda The Musical,UK/USA,3038138.4,Sony Pictures,-39%,2,692,4390.8,9417776.4,2022-12-02
2,Black Panther: Wakanda Forever,USA,1807063.2,Disney,-44%,4,637,2836.8,35368491.6,2022-12-02
3,Violent Night,USA,987176.4,Universal,-,1,580,1701.6,987176.4,2022-12-02
4,Strange World,USA,530890.8,Disney,-47%,2,590,900,1670815.2,2022-12-02
5,The Menu,USA,401316,Disney,-23%,3,525,764.4,3123438,2022-12-02
6,She Said,USA,239894.4,Universal,-55%,2,515,465.6,1130500.8,2022-12-02
7,Aftersun,UK/USA,122326.8,MUBI,-8%,3,171,715.2,815847.6,2022-12-02
8,The Banshees Of Inisherin,UK/Irl/USA,121783.2,Disney,-10%,7,229,531.6,10500530.4,2022-12-02
9,Bones And All,Ita/USA,115123.2,Warner Bros,-70%,2,349,330,704395.2,2022-12-02
10,Living,UK,112902,Lionsgate,-29%,5,302,374.4,3980095.2,2022-12-02
11,Black Adam,USA,110073.6,Warner Bros,-45%,7,288,381.6,23730903.6,2022-12-02
12,CBeebies Panto 2022: Dick Whittington And His Cat,UK,94354.8,Modern Films,-,1,422,223.2,94354.8,2022-12-02
13,Home Alone (Re: 2018),USA,81871.2,Park Circus,108%,210,246,332.4,1598598,2022-12-02
14,The Muppet Christmas Carol (30th Anniversary),USA/UK,80013.6,Park Circus,-,1,315,254.4,80013.6,2022-12-02
15,Elf (Re: 2021),USA,78720,Park Circus,68%,54,229,343.2,910923.6,2022-12-02
1,Roald Dahl’s Matilda The Musical,UK/USA,2523440.4,Sony Pictures,-17%,3,717,3519.6,12941400,2022-12-09
2,Black Panther: Wakanda Forever,USA,964560,Disney,-47%,5,608,1586.4,36996093.6,2022-12-09
3,Violent Night,USA,680821.2,Universal,-31%,2,607,1122,2331931.2,2022-12-09
4,Strange World,USA,366962.4,Disney,-31%,3,593,619.2,2135198.4,2022-12-09
5,The Menu,USA,231392.4,Disney,-42%,4,438,528,3621960,2022-12-09
6,Elf (Re: 2021),USA,178764,Park Circus,84%,55,426,420,1146776.4,2022-12-09
7,"The Nutcracker - ROH, London 2022 (Ballet)",UK,160076.4,Royal Opera House,-,2,150,1066.8,842659.2,2022-12-09
8,Home Alone (Re: 2018),USA,143439.6,Park Circus,55%,211,320,448.8,1780360.8,2022-12-09
9,The Muppet Christmas Carol (30th Anniversary),USA/UK,113065.2,Park Circus,34%,2,406,278.4,207282,2022-12-09
10,The Polar Express (Re: 2014),USA,106658.4,Park Circus,466%,419,116,919.2,794560.8,2022-12-09
11,Top Gun: Maverick,USA,98184,Paramount,3427%,29,316,310.8,100290708,2022-12-09
12,She Said,USA,96978,Universal,-60%,3,353,274.8,1408616.4,2022-12-09
13,Aftersun,UK/USA,73430.4,MUBI,-40%,4,202,363.6,998110.8,2022-12-09
14,CBeebies Panto 2022: Dick Whittington And His Cat,UK,72090,Modern Films,-26%,2,401,180,169244.4,2022-12-09
15,The Hours - Met Opera 2022 (Opera),USA,65128.8,Trafalgar,-,1,133,489.6,65128.8,2022-12-09
1,Avatar: The Way Of Water,USA,13425074.4,Disney,-,1,721,18620.4,13425074.4,2022-12-16
2,Roald Dahl’s Matilda The Musical,UK/USA,1581753.6,Sony Pictures,-38%,4,748,2114.4,15315696,2022-12-16
3,Black Panther: Wakanda Forever,USA,453388.8,Disney,-53%,6,478,948,37896232.8,2022-12-16
4,Violent Night,USA,422737.2,Universal,-38%,3,524,806.4,3239623.2,2022-12-16
5,Strange World,USA,232603.2,Disney,-37%,4,539,432,2455096.8,2022-12-16
6,Elf (Re: 2021),USA,146550,Park Circus,-23%,56,397,369.6,1423855.2,2022-12-16
7,Home Alone (Re: 2018),USA,127064.4,Park Circus,-20%,212,365,348,1976373.6,2022-12-16
8,It's A Wonderful Life (1946) (75th Anniversary),USA,112598.4,Park Circus,228%,55,140,804,602341.2,2022-12-16
9,The Muppet Christmas Carol (30th Anniversary),USA/UK,112338,Park Circus,-1%,3,391,286.8,379008,2022-12-16
10,The Menu,USA,101124,Disney,-56%,5,189,535.2,3919120.8,2022-12-16
11,Aftersun,UK/USA,44612.4,MUBI,-39%,5,75,595.2,1133949.6,2022-12-16
12,The Polar Express (Re: 2014),USA,43617.6,Park Circus,-60%,420,192,226.8,850238.4,2022-12-16
13,Die Hard (30th Anniversary),USA,38914.8,Park Circus,-16%,211,62,627.6,764575.2,2022-12-16
14,Home Alone 2: Lost In New York (Re: 2018),USA,36948,Park Circus,-33%,212,160,230.4,400554,2022-12-16
15,The Amazing Maurice,UK/Deu,36379.2,Sky Cinema,-,1,109,333.6,36379.2,2022-12-16
1,Avatar: The Way Of Water,USA,5968804.8,Disney,-56%,2,732,8154,30040946.4,2022-12-23
2,Roald Dahl’s Matilda The Musical,UK/USA,1353675.6,Sony Pictures,-15%,5,727,1862.4,19399897.2,2022-12-23
3,Love Actually (Re: 2021),UK/USA/Fra,489814.8,Park Circus,1662%,57,413,1185.6,782094,2022-12-23
4,Elf (Re: 2021),USA,302473.2,Park Circus,81%,57,543,556.8,2072215.2,2022-12-23
5,Violent Night,USA,295678.8,Universal,-30%,4,451,655.2,4072197.6,2022-12-23
6,Black Panther: Wakanda Forever,USA,241135.2,Disney,-47%,7,369,654,38743010.4,2022-12-23
7,Home Alone (Re: 2018),USA,225031.2,Park Circus,60%,213,464,484.8,2398113.6,2022-12-23
8,It's A Wonderful Life (1946) (75th Anniversary),USA,213001.2,Park Circus,89%,56,215,991.2,946796.4,2022-12-23
9,Strange World,USA,172286.4,Disney,-26%,5,443,388.8,3061730.4,2022-12-23
10,The Muppet Christmas Carol (30th Anniversary),USA/UK,171328.8,Park Circus,51%,4,461,372,696658.8,2022-12-23
11,The Polar Express (Re: 2014),USA,129054,Park Circus,196%,421,409,315.6,1085252.4,2022-12-23
12,Cirkus,Ind,86407.2,DG Tech,-,1,129,669.6,86407.2,2022-12-23
13,Home Alone 2: Lost In New York (Re: 2018),USA,52219.2,Park Circus,39%,213,180,290.4,517760.4,2022-12-23
14,The Menu,USA,35595.6,Disney,-65%,6,135,264,4060550.4,2022-12-23
15,The Amazing Maurice,UK/Deu,31789.2,Sky Cinema,-13%,2,111,286.8,134313.6,2022-12-23
1,Avatar: The Way Of Water,USA,9172516.8,Disney,54%,3,727,12616.8,53965596,2022-12-30
2,Whitney Houston: I Wanna Dance With Somebody,UK/USA,3990549.6,Sony Pictures,-,1,687,5809.2,3990549.6,2022-12-30
3,Roald Dahl’s Matilda The Musical,UK/USA,2448616.8,Sony Pictures,80%,6,726,3373.2,24980380.8,2022-12-30
4,Black Panther: Wakanda Forever,USA,523387.2,Disney,117%,8,382,1370.4,39888021.6,2022-12-30
5,Strange World,USA,336932.4,Disney,95%,6,503,669.6,3788712,2022-12-30
6,Corsage,Deu/Fra/Aut/Lux,243745.2,Picture House Entertainment,-,1,134,1819.2,243745.2,2022-12-30
7,The Amazing Maurice,UK/Deu,136255.2,Sky Cinema,329%,3,158,862.8,426039.6,2022-12-30
8,The Menu,USA,125355.6,Disney,253%,7,164,764.4,4333326,2022-12-30
9,Violent Night,USA,121336.8,Universal,-59%,5,250,484.8,4394497.2,2022-12-30
10,"Lyle, Lyle, Crocodile",USA,106004.4,Sony Pictures,875%,12,387,273.6,15269322,2022-12-30
11,Berliner Philharmoniker Live: New Year's Eve Concert 2022 (Concert),Deu,65740.8,Trafalgar,-,1,77,853.2,65740.8,2022-12-30
12,Aftersun,UK/USA,52790.4,MUBI,261%,7,87,607.2,1316164.8,2022-12-30
13,The Banshees Of Inisherin,UK/Irl/USA,50530.8,Disney,422%,11,84,601.2,10902918,2022-12-30
14,Minions: The Rise Of Gru,USA,41014.8,Universal,542%,27,197,207.6,56278513.2,2022-12-30
15,Cirkus,Ind,34852.8,DG Tech,-60%,2,75,464.4,213252,2022-12-30